,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
279,Артем Сайфамлюков,realtor,https://ekb.cian.ru/rent/flat/294868605/,Екатеринбург,rent,flat,19,26,1,45.0,888,40000,0,Центр, Московская,77,Геологическая
280,ID 109211097,homeowner,https://ekb.cian.ru/rent/flat/294302998/,Екатеринбург,rent,flat,3,8,1,38.0,657,25000,0,, Хрустальногорская,87,Геологическая
281,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/292532759/,Екатеринбург,rent,flat,15,25,1,38.0,1842,70000,0,Октябрьский, Ткачей,19,Геологическая
282,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/292823279/,Екатеринбург,rent,flat,12,31,2,45.0,2666,120000,0,Верх-Исетский, Нагорная,12,Площадь 1905 года
283,ID 108418096,homeowner,https://ekb.cian.ru/rent/flat/293386706/,Екатеринбург,rent,flat,3,10,1,35.1,569,20000,0,, Николая Кичигина,9/3,Геологическая
284,Все о недвижимости,real_estate_agent,https://ekb.cian.ru/rent/flat/294905661/,Екатеринбург,rent,flat,8,9,3,75.0,733,55000,0,Октябрьский, Бахчиванджи,15,Ботаническая
285,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/294831673/,Екатеринбург,rent,flat,7,10,1,33.0,666,22000,0,Чкаловский, Агрономическая,26Б,
286,ID 76729432,homeowner,https://ekb.cian.ru/rent/flat/294399052/,Екатеринбург,rent,flat,16,25,1,38.0,631,24000,0,Кировский, 40-летия Комсомола,2Е,Площадь 1905 года
287,Артем Сайфамлюков,realtor,https://ekb.cian.ru/rent/flat/294869552/,Екатеринбург,rent,flat,19,27,1,45.0,1000,45000,0,Верх-Исетский, Мельникова,27,Площадь 1905 года
288,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294689965/,Екатеринбург,rent,flat,14,19,4,111.0,765,85000,0,Октябрьский, Белинского,86,Геологическая
