,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
611,ПАН,real_estate_agent,https://spb.cian.ru/rent/flat/262805380/,Санкт-Петербург,rent,flat,14,25,2,40.0,625,25000,0,Красногвардейский, Пейзажная,10,
612,Хозяин Сервис,real_estate_agent,https://spb.cian.ru/rent/flat/294623827/,Санкт-Петербург,rent,flat,13,25,1,38.0,705,26800,0,Красногвардейский,Полюстрово,16к2,
613,Мария Кардо-Сысоева,realtor,https://spb.cian.ru/rent/flat/294489115/,Санкт-Петербург,rent,flat,6,14,1,38.6,777,30000,0,Приморский,Шуваловский проспект,90к1,Беговая
614,ПАН,real_estate_agent,https://spb.cian.ru/rent/flat/294419586/,Санкт-Петербург,rent,flat,3,24,1,37.0,675,25000,0,Приморский,аллея Арцеуловская,17,
615,Роза Байкина,realtor,https://spb.cian.ru/rent/flat/294794934/,Санкт-Петербург,rent,flat,5,17,1,35.0,714,25000,0,Выборгский,дорога Михайловская,14к1,
616,ЭксперТ,real_estate_agent,https://spb.cian.ru/rent/flat/293506469/,Санкт-Петербург,rent,flat,7,10,1,21.0,809,17000,0,Колпинский,дорога Балканская,12к2,
617,Будь первым,real_estate_agent,https://spb.cian.ru/rent/flat/293622998/,Санкт-Петербург,rent,flat,2,5,2,47.0,638,30000,0,Калининский,Гражданский проспект,105К3,Гражданский проспект
618,Александра Рощина,realtor,https://spb.cian.ru/rent/flat/279701740/,Санкт-Петербург,rent,flat,8,9,1,32.0,875,28000,0,Кировский, Солдата Корзуна,42,Проспект Ветеранов
619,ЭВО,real_estate_agent,https://spb.cian.ru/rent/flat/293254948/,Санкт-Петербург,rent,flat,2,5,1,34.0,735,25000,0,Приморский,проспект Юнтоловский,53к1,Беговая
620,ЭВО,real_estate_agent,https://spb.cian.ru/rent/flat/293568008/,Санкт-Петербург,rent,flat,3,12,1,32.0,812,26000,0,Приморский,проспект Гладышевский,38к3,Беговая
621,Будь первым,real_estate_agent,https://spb.cian.ru/rent/flat/294927739/,Санкт-Петербург,rent,flat,5,9,2,50.5,495,25000,0,Красногвардейский,проспект Металлистов,82,Выборгская
622,Крепость,real_estate_agent,https://spb.cian.ru/rent/flat/293956739/,Санкт-Петербург,rent,flat,13,15,1,39.0,692,27000,0,Красносельский, Рихарда Зорге,4к2,
623,ЭксперТ,real_estate_agent,https://spb.cian.ru/rent/flat/293957142/,Санкт-Петербург,rent,flat,6,12,1,47.2,423,20000,0,Колпинский, Севастьянова,28к1,Рыбацкое
624,Зоя Кислицына,realtor,https://spb.cian.ru/rent/flat/294926466/,Санкт-Петербург,rent,flat,4,5,2,46.0,543,25000,0,Курортный,Приморское шоссе,288,Беговая
625,МАКРОМИР НЕДВИЖИМОСТЬ,real_estate_agent,https://spb.cian.ru/rent/flat/293548434/,Санкт-Петербург,rent,flat,13,17,1,40.0,750,30000,0,Приморский, Оптиков,49к2,Старая Деревня
626,КВС,real_estate_agent,https://spb.cian.ru/rent/flat/294265336/,Санкт-Петербург,rent,flat,5,18,1,34.7,864,30000,0,Приморский,Богатырский проспект,50к1,Комендантский проспект
627,Адвекс,real_estate_agent,https://spb.cian.ru/rent/flat/294831825/,Санкт-Петербург,rent,flat,7,14,1,33.6,1041,35000,0,Приморский,Глухарская ,26,Комендантский проспект
628,ПАН,real_estate_agent,https://spb.cian.ru/rent/flat/292880677/,Санкт-Петербург,rent,flat,2,3,1,36.0,611,22000,0,Красногвардейский,Пискаревский проспект,157,Академическая
629,Андрей Харламов,realtor,https://spb.cian.ru/rent/flat/294468518/,Санкт-Петербург,rent,flat,2,24,1,35.0,1000,35000,0,Приморский, Плесецкая,20к1,Комендантский проспект
630,Ритм Эстейт,real_estate_agent,https://spb.cian.ru/rent/flat/294430295/,Санкт-Петербург,rent,flat,11,21,1,37.0,891,33000,0,Приморский,Байконурская ,24,
631,Анна Шведова,realtor,https://spb.cian.ru/rent/flat/276870565/,Санкт-Петербург,rent,flat,1,3,2,54.8,510,28000,0,Курортный,Красавица тер.,8,
632,ПАН,real_estate_agent,https://spb.cian.ru/rent/flat/270088223/,Санкт-Петербург,rent,flat,4,9,2,57.0,526,30000,0,Калининский,Гражданский проспект,104К1,Гражданский проспект
633,Ольга Семенова,realtor,https://spb.cian.ru/rent/flat/279027922/,Санкт-Петербург,rent,flat,15,26,1,38.0,868,33000,0,Выборгский, Михаила Дудина,25к1,Парнас
634,Невская Недвижимость,real_estate_agent,https://spb.cian.ru/rent/flat/294699511/,Санкт-Петербург,rent,flat,8,11,1,35.0,914,32000,0,Выборгский, Тихоокеанская,1к2,Проспект Просвещения
635,Русский Фонд Недвижимости,real_estate_agent,https://spb.cian.ru/rent/flat/294324044/,Санкт-Петербург,rent,flat,4,5,2,45.0,666,30000,0,Курортный,Приморское шоссе,346,Беговая
636,Адвекс,real_estate_agent,https://spb.cian.ru/rent/flat/280367546/,Санкт-Петербург,rent,flat,9,17,1,40.0,800,32000,0,Приморский,Туристская ,36К2,Комендантский проспект
637,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/294808419/,Санкт-Петербург,rent,flat,3,13,2,68.0,382,26000,0,Адмиралтейский,бульвар Измайловский,4к2,Фрунзенская
638,НЕДВИЖИМОСТЬ Петербургский Центр,real_estate_agent,https://spb.cian.ru/rent/flat/294994161/,Санкт-Петербург,rent,flat,2,10,1,30.1,730,22000,0,Невский, Бабушкина,64,Пролетарская
639,1-е Центральное Городское Агентство,real_estate_agent,https://spb.cian.ru/rent/flat/295014589/,Санкт-Петербург,rent,flat,12,26,1,33.0,575,19000,0,Красногвардейский, Пейзажная,6,Девяткино
640,ИП Шутикова Е. С.,real_estate_agent,https://spb.cian.ru/rent/flat/294989007/,Санкт-Петербург,rent,flat,2,12,1,32.0,875,28000,0,Невский, Кржижановского,3К5,Проспект Большевиков
641,ТОЧКАДОМ,real_estate_agent,https://spb.cian.ru/rent/flat/294987406/,Санкт-Петербург,rent,flat,9,22,1,32.6,1012,33000,0,Московский,Московский проспект,222,Московская
642,САМОЛЕТ ПЛЮС,real_estate_agent,https://spb.cian.ru/rent/flat/295012660/,Санкт-Петербург,rent,flat,3,24,1,35.0,571,20000,0,Приморский, Ивинская,17,Беговая
643,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/295062398/,Санкт-Петербург,rent,flat,5,15,1,35.0,657,23000,0,Выборгский,Суздальский проспект,3К2,Озерки
644,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/295014283/,Санкт-Петербург,rent,flat,7,17,1,35.0,714,25000,0,Московский,Звездная ,20,Звездная
645,GlanzGroup,real_estate_agent,https://spb.cian.ru/rent/flat/295008063/,Санкт-Петербург,rent,flat,17,24,1,34.0,970,33000,0,Калининский,Пискарёвка,7к4,Лесная
646,Дмитрий Батюшков,realtor,https://spb.cian.ru/rent/flat/273360729/,Санкт-Петербург,rent,flat,6,13,2,55.0,490,27000,0,Приморский,Богатырский проспект,41К1,Комендантский проспект
647,GlanzGroup,real_estate_agent,https://spb.cian.ru/rent/flat/295010340/,Санкт-Петербург,rent,flat,9,10,1,39.0,846,33000,0,Приморский,Долгоозерная ,5К1,Комендантский проспект
648,Андрей Белов,realtor,https://spb.cian.ru/rent/flat/294983989/,Санкт-Петербург,rent,flat,12,18,1,39.0,641,25000,0,Московский,Дунайский проспект,7к3,Звездная
649,Нэлли Огнивенко,realtor,https://spb.cian.ru/rent/flat/295001076/,Санкт-Петербург,rent,flat,13,26,1,38.0,789,30000,0,Приморский,Коломяжский проспект,15к1,Пионерская
650,Sample,real_estate_agent,https://spb.cian.ru/rent/flat/295065956/,Санкт-Петербург,rent,flat,12,18,1,41.5,795,33000,0,Красносельский, Маршала Казакова,60к1,Автово
651,Оксана Шоркина,realtor,https://spb.cian.ru/rent/flat/294961698/,Санкт-Петербург,rent,flat,8,12,1,33.0,1000,33000,0,Выборгский,проспект Тореза,24,Площадь Мужества
652,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/295068774/,Санкт-Петербург,rent,flat,3,24,2,50.0,400,20000,0,Приморский, Ивинская,13,Беговая
653,Халид Багамаев,realtor,https://spb.cian.ru/rent/flat/294969062/,Санкт-Петербург,rent,flat,2,9,1,30.5,754,23000,0,Калининский, Демьяна Бедного,32к1,Гражданский проспект
654,Екатерина Кузнецова,realtor,https://spb.cian.ru/rent/flat/283217312/,Санкт-Петербург,rent,flat,2,2,2,45.0,622,28000,0,Кировский, Калинина,18З,Нарвская
655,Светлана Церковская,realtor,https://spb.cian.ru/rent/flat/271494086/,Санкт-Петербург,rent,flat,12,16,1,33.0,696,23000,0,Красносельский,проспект Ветеранов,120,
656,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/261357440/,Санкт-Петербург,rent,flat,15,16,1,40.0,675,27000,0,Калининский, Замшина,29К3,
657,ID 64142489,unknown,https://spb.cian.ru/rent/flat/259987936/,Санкт-Петербург,rent,flat,2,5,1,40.0,625,25000,0,Выборгский, Харченко,18,Лесная
658,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/290790569/,Санкт-Петербург,rent,flat,16,25,1,32.0,687,22000,0,Выборгский,проезд Толубеевский,36к3,Парнас
659,ID 64142489,unknown,https://spb.cian.ru/rent/flat/294252051/,Санкт-Петербург,rent,flat,10,15,1,35.0,714,25000,0,Калининский,Сибирская ,16,Лесная
660,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/293840080/,Санкт-Петербург,rent,flat,7,9,2,45.0,688,31000,0,Выборгский,проспект Энгельса,63К2,Удельная
661,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/285687171/,Санкт-Петербург,rent,flat,6,9,1,37.0,594,22000,0,Выборгский,проспект Луначарского,70К1,Озерки
662,GlanzGroup,real_estate_agent,https://spb.cian.ru/rent/flat/294795248/,Санкт-Петербург,rent,flat,6,9,1,33.0,1060,35000,0,Приморский,аллея Поликарпова,5,Пионерская
663,Лариса Громова,realtor,https://spb.cian.ru/rent/flat/208479036/,Санкт-Петербург,rent,flat,5,5,1,33.0,787,26000,0,Красногвардейский,Таллинская ,30,Новочеркасская
664,Город - М171,real_estate_agent,https://spb.cian.ru/rent/flat/294535823/,Санкт-Петербург,rent,flat,6,10,1,34.8,862,30000,0,Приморский, Шаврова,9,
665,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/293005734/,Санкт-Петербург,rent,flat,2,19,1,36.0,638,23000,0,Невский,Октябрьская набережная,124к7,Ломоносовская
666,Эльвира Донченко,realtor,https://spb.cian.ru/rent/flat/294730511/,Санкт-Петербург,rent,flat,11,24,1,35.0,914,32000,0,Приморский, Ивинская,19к2,Беговая
667,ID 12927086,realtor,https://spb.cian.ru/rent/flat/237284229/,Санкт-Петербург,rent,flat,23,27,1,35.0,657,23000,0,Невский,проспект Советский,34к2,Рыбацкое
668,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/294815238/,Санкт-Петербург,rent,flat,6,16,2,52.0,576,30000,0,Красносельский, Маршала Захарова,50К1,Ленинский проспект
669,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/293545836/,Санкт-Петербург,rent,flat,3,9,1,43.0,581,25000,0,Курортный, Токарева,8,Беговая
670,Новые квартиры,real_estate_agent,https://spb.cian.ru/rent/flat/290123441/,Санкт-Петербург,rent,flat,2,5,1,30.0,733,22000,0,Пушкинский,Красносельское шоссе,49,Купчино
671,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/294878735/,Санкт-Петербург,rent,flat,10,18,1,31.4,636,20000,0,Красногвардейский, Пейзажная,2к2,Гражданский проспект
672,Ирина Ильина,realtor,https://spb.cian.ru/rent/flat/293274122/,Санкт-Петербург,rent,flat,6,9,1,42.3,709,30000,0,Фрунзенский, Белы Куна,8,Международная
673,Lighthome Real Estate,real_estate_agent,https://spb.cian.ru/rent/flat/294387166/,Санкт-Петербург,rent,flat,8,28,1,37.0,675,25000,0,Невский,проспект Советский,20,Рыбацкое
674,GlanzGroup,real_estate_agent,https://spb.cian.ru/rent/flat/294794423/,Санкт-Петербург,rent,flat,16,16,1,43.3,808,35000,0,Невский, Ворошилова,25к2,Улица Дыбенко
675,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/294880607/,Санкт-Петербург,rent,flat,10,16,1,34.1,733,25000,0,Кировский,Ленинский проспект,111к2,Проспект Ветеранов
676,Владислав Никоненко,realtor,https://spb.cian.ru/rent/flat/158589871/,Санкт-Петербург,rent,flat,6,16,1,38.0,618,23500,0,Невский,Шлиссельбургский проспект,11,Рыбацкое
677,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/294739086/,Санкт-Петербург,rent,flat,2,10,2,43.5,689,30000,0,Калининский,проспект Луначарского,78К1,Политехническая
678,Анжелика Цветанская,realtor,https://spb.cian.ru/rent/flat/294898295/,Санкт-Петербург,rent,flat,12,25,1,36.0,888,32000,0,Приморский,Полевая Сабировская ,47к1,Комендантский проспект
679,Sample,real_estate_agent,https://spb.cian.ru/rent/flat/294906484/,Санкт-Петербург,rent,flat,10,18,2,49.7,704,35000,0,Невский, Ткачей,68к2,Елизаровская
680,ID 10469506,unknown,https://spb.cian.ru/rent/flat/279888072/,Санкт-Петербург,rent,flat,7,12,2,50.0,560,28000,0,Красногвардейский, Коммуны,48,Ладожская
681,Город - М171,real_estate_agent,https://spb.cian.ru/rent/flat/294760047/,Санкт-Петербург,rent,flat,2,8,1,34.0,794,27000,0,Красносельский, Генерала Кравченко,9к1,Ленинский проспект
682,Sample,real_estate_agent,https://spb.cian.ru/rent/flat/294949518/,Санкт-Петербург,rent,flat,5,16,3,64.0,546,35000,0,Кировский,проспект Маршала Жукова,30к2Д,Ленинский проспект
683,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/293766117/,Санкт-Петербург,rent,flat,17,23,2,53.0,509,27000,0,Красногвардейский, Пейзажная,4к3,Девяткино
684,Город - М171,real_estate_agent,https://spb.cian.ru/rent/flat/294535661/,Санкт-Петербург,rent,flat,8,17,1,32.0,750,24000,0,Приморский, Верхне-Каменская,11к1,
685,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/294291467/,Санкт-Петербург,rent,flat,6,9,2,54.0,518,28000,0,Выборгский,проспект Художников,33К1,
686,Sample,real_estate_agent,https://spb.cian.ru/rent/flat/294948246/,Санкт-Петербург,rent,flat,6,13,1,41.0,853,35000,0,Приморский,Шуваловский проспект,86к1,Беговая
687,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/291996525/,Санкт-Петербург,rent,flat,21,27,1,34.0,764,26000,0,Выборгский,проезд Толубеевский,14к1,Парнас
688,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/294806160/,Санкт-Петербург,rent,flat,6,11,1,38.9,745,29000,0,Приморский,аллея Арцеуловская,23к1,Комендантский проспект
689,ID 40224900,unknown,https://spb.cian.ru/rent/flat/294112677/,Санкт-Петербург,rent,flat,10,18,1,42.0,714,30000,0,Красносельский, Летчика Пилютова,44к2,Проспект Ветеранов
690,САМОЛЕТ ПЛЮС,real_estate_agent,https://spb.cian.ru/rent/flat/292520541/,Санкт-Петербург,rent,flat,1,23,1,45.0,711,32000,0,Невский, Русановская,9,Ломоносовская
691,Панорама,real_estate_agent,https://spb.cian.ru/rent/flat/292991688/,Санкт-Петербург,rent,flat,9,17,1,40.0,800,32000,0,Приморский,Туристская ,36К2,Комендантский проспект
692,ID 16834311,realtor,https://spb.cian.ru/rent/flat/295063297/,Санкт-Петербург,rent,flat,1,10,1,37.0,675,25000,0,Приморский,проспект Испытателей,20,Комендантский проспект
693,ID 7181212,realtor,https://spb.cian.ru/rent/flat/291954230/,Санкт-Петербург,rent,flat,8,10,1,36.0,694,25000,0,Выборгский,проспект Энгельса,150К1,Проспект Просвещения
694,ID 585847,realtor,https://spb.cian.ru/rent/flat/275796127/,Санкт-Петербург,rent,flat,1,20,1,48.0,625,30000,0,Красносельский,Петергофское шоссе,45,
695,ID 15709482,realtor,https://spb.cian.ru/rent/flat/294928056/,Санкт-Петербург,rent,flat,7,7,1,38.0,789,30000,0,Московский,Варшавская ,124,Московская
