,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
388,Квадротека,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294626977/,Новосибирск,rent,flat,1,10,2,40.0,500,20000,0,Кировский, Зорге,94,Площадь Маркса
389,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294253526/,Новосибирск,rent,flat,15,17,1,45.0,866,39000,0,Советский,бульвар Молодежи,15,Речной вокзал
390,Сибирский Партнер,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293600791/,Новосибирск,rent,flat,4,5,3,72.0,416,30000,0,Октябрьский, Территория Военного городка,773,
391,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294941747/,Новосибирск,rent,flat,1,17,1,32.0,937,30000,0,Ленинский,Междуреченская ,5/3,Площадь Маркса
392,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294749240/,Новосибирск,rent,flat,7,15,1,38.0,789,30000,0,Калининский,Танковая ,32,
393,Андрей Каравайцев,realtor,https://novosibirsk.cian.ru/rent/flat/295070942/,Новосибирск,rent,flat,5,25,1,40.0,700,28000,0,Заельцовский, Залесского,2/3,Заельцовская
394,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294748636/,Новосибирск,rent,flat,4,5,2,47.0,765,36000,0,Советский, Иванова,42,Студенческая
395,Александр Садовский,realtor,https://novosibirsk.cian.ru/rent/flat/294145809/,Новосибирск,rent,flat,3,9,2,44.0,568,25000,0,Кировский, Петухова,122/1,Площадь Маркса
396,Сибирский центр недвижимости и права,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294236488/,Новосибирск,rent,flat,10,10,1,38.0,473,18000,0,Кировский, Зорге,94,Площадь Маркса
397,Rialtor Group,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292913328/,Новосибирск,rent,flat,9,25,2,60.0,800,48000,0,Центральный, Романова,60/1,Площадь Ленина
398,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292390673/,Новосибирск,rent,flat,4,10,2,45.0,888,40000,0,Ленинский,Троллейная ,1,Площадь Маркса
399,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294133390/,Новосибирск,rent,flat,8,10,1,36.8,489,18000,0,Ленинский,Спортивная ,23,
400,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294903513/,Новосибирск,rent,flat,6,17,2,50.0,700,35000,0,Ленинский, Ясный Берег,5,Площадь Гарина-Михайловского
