,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
342,HAPPINESS,real_estate_agent,https://www.cian.ru/rent/flat/294394222/,Москва,rent,flat,17,21,2,60.0,2666,160000,0,Даниловский,проспект Лихачева,16к1,Технопарк
343,BY Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/294466363/,Москва,rent,flat,44,78,3,123.0,3089,380000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
344,BY Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/294369120/,Москва,rent,flat,37,75,3,202.0,1831,370000,0,Пресненский,набережная Пресненская,8с1,Международная
345,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/292953420/,Москва,rent,flat,3,6,4,165.0,1666,275000,0,Пресненский,Малая Бронная ,20а,Пушкинская
346,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/293527891/,Москва,rent,flat,6,17,3,105.0,1895,199000,0,Арбат,Малый Новопесковский переулок,8,Смоленская
347,City View,real_estate_agent,https://www.cian.ru/rent/flat/293653268/,Москва,rent,flat,50,85,2,86.0,2325,200000,0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр
348,NF Group - ex-Knight Frank Russia,real_estate_agent,https://www.cian.ru/rent/flat/293951667/,Москва,rent,flat,3,8,2,51.0,5000,255000,0,Якиманка,Софийская набережная,34,Третьяковская
349,BY Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/294475350/,Москва,rent,flat,71,78,3,138.0,3550,490000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
350,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295060656/,Москва,rent,flat,18,20,3,60.0,2833,170000,0,Филевский парк,Большая Филевская ,3к4,Фили
351,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/294853303/,Москва,rent,flat,22,23,3,180.0,1388,250000,0,Ломоносовский, Академика Пилюгина,24К1,Новаторская
352,BY Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/294368659/,Москва,rent,flat,41,78,3,92.0,2934,270000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
353,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/295064012/,Москва,rent,flat,11,15,2,49.0,1122,55000,0,, Саларьевская,9,Саларьево
354,BY Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/294614669/,Москва,rent,flat,55,78,3,143.0,3846,550000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
355,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/293505430/,Москва,rent,flat,5,7,4,275.0,2545,700000,0,Пресненский,Тверской бульвар,9,Пушкинская
356,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/294735531/,Москва,rent,flat,14,40,1,40.0,3000,120000,0,Хорошевский,Ленинградский проспект,37/5,Аэропорт
357,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/285169662/,Москва,rent,flat,3,8,2,76.0,7236,550000,0,Хамовники,переулок Хилков,1,Парк Культуры
358,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/294468999/,Москва,rent,flat,5,7,3,110.0,3636,400000,0,Арбат,1-й Смоленский переулок,21,Смоленская
359,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294982214/,Москва,rent,flat,7,12,3,80.0,750,60000,0,Косино-Ухтомский, Татьяны Макаровой,6,Улица Дмитриевского
360,BY Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/294613341/,Москва,rent,flat,69,78,2,113.0,3716,420000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
361,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/293188055/,Москва,rent,flat,3,7,4,150.0,1733,260000,0,Красносельский,переулок Даев,5,Сухаревская
362,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295016898/,Москва,rent,flat,6,6,1,33.0,2121,70000,0,Хорошевский,Хорошевское шоссе,38С5,Беговая
363,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/rent/flat/294313061/,Москва,rent,flat,65,73,3,190.0,3157,600000,0,Пресненский,набережная Пресненская,8с1,Международная
364,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/293131461/,Москва,rent,flat,2,9,4,175.09,1713,300000,0,Тверской,3-я Тверская-Ямская ,25,Маяковская
365,KOVCHEG,real_estate_agent,https://www.cian.ru/rent/flat/294926457/,Москва,rent,flat,5,22,2,60.0,1250,75000,0,Обручевский, Новаторов,36К5,Новаторская
366,Delight  Realty,real_estate_agent,https://www.cian.ru/rent/flat/293656389/,Москва,rent,flat,5,7,4,160.0,2187,350000,0,Тверской,Тверская ,28к1,Маяковская
